User ID;Gender;Age;AnnualSalary;Purchased;;;;;;
385;Male;35;20000;no;;;;;;
681;Male;40;43500;no;;;;;;
353;Male;49;74000;no;;;;;;
895;Male;40;107500;si;;;;;;
661;Male;25;79000;no;;;;;;
846;Female;47;33500;si;;;;;;
219;Female;46;132500;si;;;;;;
588;Male;42;64000;no;;;;;;
85;Female;30;84500;no;;;;;;
465;Male;41;52000;no;;;;;;
686;Male;42;80000;no;;;;;;
408;Male;47;23000;si;;;;;;
790;Female;32;72500;no;;;;;;
116;Female;27;57000;no;;;;;;
118;Female;42;108000;si;;;;;;
54;Female;33;149000;si;;;;;;
90;Male;35;75000;no;;;;;;
372;Male;35;53000;no;;;;;;
926;Male;46;79000;si;;;;;;
94;Female;39;134000;si;;;;;;
338;Female;39;51500;no;;;;;;
134;Female;49;39000;si;;;;;;
821;Male;54;25500;si;;;;;;
294;Female;41;61500;no;;;;;;
597;Female;31;117500;no;;;;;;
567;Male;24;58000;no;;;;;;
20;Male;40;107000;si;;;;;;
108;Male;40;97500;si;;;;;;
105;Female;48;29000;si;;;;;;
994;Female;38;147500;si;;;;;;
273;Male;45;26000;si;;;;;;
263;Male;32;67500;no;;;;;;
423;Female;37;62000;no;;;;;;
88;Male;41;79500;no;;;;;;
81;Female;44;113500;si;;;;;;
257;Female;47;41500;no;;;;;;
755;Female;38;55000;no;;;;;;
249;Female;39;114500;si;;;;;;
121;Male;42;73000;si;;;;;;
489;Male;26;15000;no;;;;;;
555;Female;21;37500;no;;;;;;
222;Female;59;39500;si;;;;;;
590;Female;39;66500;no;;;;;;
645;Female;43;80500;no;;;;;;
689;Male;49;86000;si;;;;;;
646;Male;37;75000;no;;;;;;
964;Female;49;76500;no;;;;;;
384;Male;28;123000;si;;;;;;
826;Female;59;48500;si;;;;;;
27;Female;40;60500;no;;;;;;
268;Female;38;99500;si;;;;;;
466;Male;51;35500;si;;;;;;
411;Female;55;130000;si;;;;;;
445;Female;23;56500;no;;;;;;
428;Female;49;43500;si;;;;;;
974;Female;49;36000;si;;;;;;
828;Male;48;21500;si;;;;;;
348;Female;49;98500;no;;;;;;
730;Male;43;59500;no;;;;;;
820;Female;35;147000;si;;;;;;
917;Female;50;109500;si;;;;;;
15;Male;48;26500;si;;;;;;
365;Male;49;88000;si;;;;;;
674;Female;38;72500;no;;;;;;
30;Male;27;58000;no;;;;;;
531;Male;35;22000;no;;;;;;
190;Female;35;71000;no;;;;;;
160;Male;43;129000;si;;;;;;
371;Male;41;45000;no;;;;;;
321;Male;39;42000;no;;;;;;
230;Female;45;40500;no;;;;;;
819;Female;51;37500;si;;;;;;
965;Male;20;86500;no;;;;;;
351;Female;41;63000;no;;;;;;
266;Male;58;41500;si;;;;;;
629;Female;50;115500;si;;;;;;
891;Female;28;55500;no;;;;;;
311;Male;34;32500;no;;;;;;
439;Female;57;106500;si;;;;;;
861;Female;50;53500;si;;;;;;
510;Male;49;28000;si;;;;;;
277;Male;53;151500;si;;;;;;
417;Male;42;88500;si;;;;;;
123;Female;27;17000;no;;;;;;
912;Female;59;76000;si;;;;;;
667;Female;51;136500;si;;;;;;
435;Female;49;120500;si;;;;;;
722;Female;32;35500;no;;;;;;
892;Male;30;44500;no;;;;;;
279;Female;27;18500;no;;;;;;
500;Female;36;50000;no;;;;;;
684;Male;60;144500;si;;;;;;
414;Male;38;51000;no;;;;;;
349;Female;29;38500;no;;;;;;
456;Female;61;103500;si;;;;;;
485;Female;33;151500;si;;;;;;
960;Male;45;75500;si;;;;;;
233;Female;26;17000;no;;;;;;
191;Male;30;87000;no;;;;;;
471;Male;38;60500;no;;;;;;
977;Female;28;84000;no;;;;;;
120;Female;50;88000;si;;;;;;
126;Male;26;80000;no;;;;;;
23;Male;39;42000;no;;;;;;
225;Male;26;16000;no;;;;;;
772;Female;51;21500;si;;;;;;
398;Male;36;56500;no;;;;;;
367;Male;47;29500;si;;;;;;
511;Female;18;44000;no;;;;;;
775;Male;43;109500;si;;;;;;
324;Male;61;43500;si;;;;;;
829;Female;41;30000;no;;;;;;
478;Male;31;58000;no;;;;;;
546;Female;29;83000;no;;;;;;
942;Female;48;108500;si;;;;;;
571;Female;38;112000;no;;;;;;
375;Male;59;143000;si;;;;;;
905;Female;33;136500;si;;;;;;
132;Male;35;61000;no;;;;;;
438;Male;28;59000;no;;;;;;
972;Male;30;107000;si;;;;;;
596;Male;36;99000;si;;;;;;
395;Male;40;72500;no;;;;;;
663;Female;33;41000;no;;;;;;
903;Male;36;23500;no;;;;;;
25;Male;49;34500;si;;;;;;
599;Female;40;72000;no;;;;;;
563;Female;20;23000;no;;;;;;
607;Female;37;137000;si;;;;;;
928;Female;47;144000;si;;;;;;
453;Female;36;24500;no;;;;;;
509;Male;40;76500;no;;;;;;
203;Female;59;88000;si;;;;;;
450;Female;36;75000;no;;;;;;
573;Male;42;44500;no;;;;;;
662;Male;27;89000;no;;;;;;
651;Male;32;77500;no;;;;;;
19;Female;48;31500;si;;;;;;
634;Female;38;81500;no;;;;;;
647;Male;62;145500;si;;;;;;
693;Male;38;78500;no;;;;;;
728;Male;40;75000;no;;;;;;
520;Male;57;72500;si;;;;;;
213;Female;41;114500;no;;;;;;
142;Male;22;89500;no;;;;;;
322;Female;40;74500;no;;;;;;
540;Female;39;56500;no;;;;;;
743;Female;39;73000;no;;;;;;
887;Female;41;71000;no;;;;;;
241;Male;28;32000;no;;;;;;
701;Male;39;62500;no;;;;;;
848;Male;25;33000;no;;;;;;
782;Male;43;81500;no;;;;;;
877;Male;48;74000;si;;;;;;
924;Male;37;79000;si;;;;;;
83;Male;36;144000;si;;;;;;
369;Female;32;16500;no;;;;;;
579;Female;51;121500;si;;;;;;
583;Male;30;89000;no;;;;;;
919;Male;36;39500;no;;;;;;
957;Male;30;135000;si;;;;;;
973;Female;63;110500;si;;;;;;
521;Male;48;90000;si;;;;;;
41;Female;36;78500;no;;;;;;
42;Male;31;136500;si;;;;;;
327;Male;58;61500;si;;;;;;
347;Female;22;55000;no;;;;;;
148;Female;46;96000;no;;;;;;
443;Female;63;48500;si;;;;;;
700;Female;33;28000;no;;;;;;
738;Male;35;59000;no;;;;;;
527;Male;41;87000;si;;;;;;
742;Male;26;81000;no;;;;;;
175;Female;44;134500;no;;;;;;
335;Male;39;120500;si;;;;;;
996;Male;52;67500;no;;;;;;
378;Female;53;82000;si;;;;;;
655;Male;43;74500;si;;;;;;
104;Male;51;23000;si;;;;;;
221;Female;55;125000;si;;;;;;
786;Female;60;35500;si;;;;;;
536;Female;38;59500;no;;;;;;
460;Male;24;19000;no;;;;;;
710;Female;56;106500;si;;;;;;
524;Female;56;36500;si;;;;;;
890;Male;37;70000;si;;;;;;
46;Female;61;109500;si;;;;;;
95;Male;44;81500;no;;;;;;
78;Female;45;110500;si;;;;;;
402;Female;55;40500;si;;;;;;
264;Male;51;143500;no;;;;;;
34;Male;50;66500;no;;;;;;
522;Female;26;118000;no;;;;;;
156;Male;19;19000;no;;;;;;
850;Male;43;80500;no;;;;;;
99;Male;31;90500;no;;;;;;
462;Male;39;62500;no;;;;;;
979;Female;53;46500;no;;;;;;
432;Female;44;65500;no;;;;;;
69;Male;47;25000;si;;;;;;
943;Female;59;83000;no;;;;;;
381;Female;42;52500;no;;;;;;
958;Male;38;54500;no;;;;;;
954;Female;41;80000;no;;;;;;
612;Male;35;88000;no;;;;;;
267;Male;52;90500;si;;;;;;
785;Female;51;133500;si;;;;;;
557;Male;20;49000;no;;;;;;
935;Male;45;32000;si;;;;;;
805;Male;62;132500;si;;;;;;
554;Female;54;144500;si;;;;;;
990;Female;49;132500;si;;;;;;
345;Female;20;82000;no;;;;;;
172;Male;43;63500;no;;;;;;
429;Female;27;16500;no;;;;;;
948;Female;23;64500;no;;;;;;
89;Female;58;95000;si;;;;;;
139;Male;61;43500;si;;;;;;
332;Male;21;50500;no;;;;;;
70;Female;34;42500;no;;;;;;
868;Female;19;87500;no;;;;;;
747;Male;42;60500;no;;;;;;
542;Female;47;75500;no;;;;;;
882;Male;20;77500;no;;;;;;
744;Male;36;80500;no;;;;;;
498;Male;40;78500;no;;;;;;
934;Male;40;146500;si;;;;;;
253;Female;55;105500;si;;;;;;
620;Female;40;64500;no;;;;;;
778;Female;28;55000;no;;;;;;
796;Male;36;76500;no;;;;;;
532;Female;51;45500;no;;;;;;
242;Male;48;33000;si;;;;;;
504;Female;24;29500;no;;;;;;
569;Male;30;149500;si;;;;;;
1000;Female;40;76500;si;;;;;;
401;Female;62;90500;si;;;;;;
229;Male;57;60000;si;;;;;;
91;Male;31;74000;no;;;;;;
135;Female;27;31000;no;;;;;;
906;Male;42;104000;si;;;;;;
605;Male;49;90500;si;;;;;;
613;Male;36;92500;si;;;;;;
196;Male;45;66500;no;;;;;;
167;Female;31;34000;no;;;;;;
698;Male;42;98500;si;;;;;;
565;Female;32;90500;no;;;;;;
669;Male;28;59500;no;;;;;;
715;Male;37;61500;no;;;;;;
258;Female;58;38000;si;;;;;;
604;Female;57;28500;si;;;;;;
517;Female;51;37500;si;;;;;;
228;Female;27;36500;no;;;;;;
987;Male;20;20500;no;;;;;;
885;Male;50;36500;si;;;;;;
415;Female;21;83500;no;;;;;;
357;Female;57;110500;si;;;;;;
254;Male;40;77500;no;;;;;;
235;Female;21;24500;no;;;;;;
282;Male;30;44500;no;;;;;;
128;Male;42;73500;no;;;;;;
703;Female;40;60000;no;;;;;;
131;Male;42;65000;no;;;;;;
119;Male;43;73500;si;;;;;;
921;Female;42;136500;si;;;;;;
881;Female;49;36500;si;;;;;;
182;Male;21;72000;no;;;;;;
112;Female;58;127500;si;;;;;;
342;Female;29;88500;no;;;;;;
